
[11-12-2019 12:00:23] : String was not recognized as a valid DateTime..    [ApprovedPriceListManager]     [ApprovedPriceHistoryPrice]
[11-12-2019 12:22:35] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 12:22:37] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 12:22:38] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 12:24:33] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 12:27:04] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 12:29:10] : sucess.    []     []

[11-12-2019 12:29:10] : True.    []     []

[11-12-2019 15:17:59] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 15:18:00] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 15:18:00] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 15:18:00] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 15:18:00] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 15:31:45] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 15:31:45] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 15:31:45] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 15:31:45] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 15:31:45] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 15:31:54] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 15:32:04] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 16:01:48] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 16:01:48] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 16:01:48] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 16:01:48] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 16:01:48] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 16:01:56] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 16:02:05] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 16:02:46] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 16:02:51] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 16:02:58] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 16:03:23] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 16:06:38] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 16:06:38] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 16:06:38] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 16:06:38] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 16:06:38] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 16:06:50] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 16:09:07] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 17:02:09] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 17:02:09] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 17:02:10] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 17:02:10] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 17:02:10] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 17:02:23] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 17:02:35] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 17:03:11] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 17:03:18] : An error occurred while executing the command definition. See the inner exception for details..    [BuyerOrderEntryManager]     [Get]

[11-12-2019 17:20:03] : Input string was not in a correct format..    [ProductionQualityControlController]     [saveQualityControl_Issue]

[11-12-2019 19:47:39] : Input string was not in a correct format..    [ProductionQualityControlController]     [saveQualityControl_Issue]

[11-12-2019 19:48:26] : Input string was not in a correct format..    [ProductionQualityControlController]     [saveQualityControl_Issue]
